ID,listing_date,type,category,selling_price_per_meter_usd,selling_price_per_meter_iqdr,rent_price_iqdr,Bedrooms,bathrooms,balcony,master bedroom,sqmt_living,floors,condition,furnished,year_built,area_type,floor_apartment,neighbourhood,county,street,view,wajiha,sqmt_street,rent_price_usd
55,6/14/2024,house,rent,,,"1,800,000",2,2,,,150,2,new,no,2023,,,dawoodi,mansour,,,,,
56,6/12/2024,house,rent,,,"3,625,000",4,4,,,400,2,new,no,2023,,,dawoodi,mansour,,,,,
57,6/8/2024,house,rent,,,"2,610,000",4,4,,,150,3,good,no,5 y o,,,almutanabi,mansour,,,,,
58,6/8/2024,house,rent,,,"3,190,000",5,3,,,400,2,good ,no,3 y o,,,almutanabi,mansour,,,,,
59,6/4/2024,adu,rent,,,"2,000,000",3,3,,,100,3,new,no,3 y o,,,14 ramadan,mansour,,neighbourhood,,,
60,6/3/2024,house,rent,,,"2,465,000",4,3,,,150,,new,no,2023,,,almutanabi,mansour,,neighbourhood,,,
61,6/3/2024,house,rent,,,"2,500,000",4,3,,,270,2,good,half,1 - 5,,,,mansour,,,,,
62,8/1/2024,apartment,rent,,,"1,500,000",2,1,,,100,1,good,fully,2023,,,dawoodi,mansour,,,,,
63,7/31/2024,apartment,rent,,,1500000,3,2,2,,187,1,new,half,2023,urban,7,mansour city,mansour,,,,,
64,7/31/2024,apartment,rent,,,1100000,1,1,,,80,1,good,fully,1 - 5,suburb,2,dawoodi,mansour,,,,,
65,7/31/2024,apartment,rent,,,1305000,1,1,,,90,1,good,fully,2023,suburb,1,,mansour,,,,,
66,7/16/2024,apartment,rent,,,"1,015.00",2,1,,,110,1,new,no,1 - 5 ,suburb,1,,mansour,,,,,
67,7/29/2024,apartment,rent,,,"1,450,000",3,2,2,,173,1,new,half,2023,urban,2,mansour city,mansour,,,,,
68,7/28/2024,apartment,rent,,,"750,000",2,1,1,,80,1,old,no,1 - 5,suburb,1,,mansour,,,,,
69,7/27/2024,apartment,rent,,,750000,2,1,,,80,1,new,no,1 - 5,suburb,2,beijeia,mansour,,,,,
70,7/26/2024,apartment,rent,,,"1,150,000",2,1,,,100,1,good,no,1 - 5,suburb,1,alarabi,mansour,,,,,
71,7/25/2024,apartment,rent,,,"900,000",2,1,,,150,1,,no,1 - 5,suburb,1,,mansour,,,,,
72,7/22/2024,apartment,rent,,,1100000,2,1,,,90,1,new,no,2023,suburb,1,,mansour,,,,,
73,7/21/2024,apartment,rent,,,1350000,1,1,,,65,1,good,fully,1 - 5,suburb,2,ameerat,mansour,,,,,
74,7/20/2024,apartment,rent,,,"500,000",1,1,,,75,1,old,half,1 - 5,suburb,2,قرب مطعم طبق المندي,mansour,,,,,
75,7/20/2024,apartment,rent,,,"1,595,000",2,1,,,100,1,good,fully,1 - 5,suburb,1,almutanabi,mansour,,,,,
76,7/20/2024,apartment,rent,,,"1,740,000",1,1,,,90,1,new,fully,2023,suburb,,,mansour,,,,,
77,7/19/2024,apartment,rent,,,"2,320,000",2,2,,,200,1,new,fully,2023,suburb,2,,mansour,,,,,
78,7/18/2024,apartment,rent,,,"1,885,000",2,1,,,90,1,new,fully,2023,suburb,3,,mansour,,,,,
79,7/18/2024,apartment,rent,,,"1,150,000",2,1,,,100,1,new,no,2023,suburb,1,alarabi,mansour,,,,,
